name,reviewer,no_stars,review_body,guide,no_reviews,review-date,url,timestamp
Tanuja Parihar,Tanuja Parihar,5.0,"Amazing place to relax ..so green and peaceful! ...after boat ride , just went and spent 2 hrs in garden... preferably go in afternoon..gets crowded in evening",Local Guide,61 reviews,3 weeks ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:15Z
Jayesh Patel,Jayesh Patel,4.0,,Local Guide,167 reviews,2 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:15Z
Arpit Sharma,Arpit Sharma,3.0,Nice place to visit for a small tour for artistic reasons.. Kids will enjoy it here as so many fountains are there with greenery and paintings by great artists.,Local Guide,178 reviews,2 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:15Z
Pankaj Vaish,Pankaj Vaish,5.0,,Local Guide,75 reviews,2 weeks ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:16Z
Sarb Kaur,Sarb Kaur,5.0,"It is a beautiful place to spend some quality time with your family. You have to buy entry ticket of Rs.20. It is well mentained park with beautiful vegetation. It has fountains, and lawns to sit and enjoy nature.",Local Guide,53 reviews,2 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:16Z
sanish nambiar,sanish nambiar,5.0,It is a great place to spend your afternoons/ evenings with your family and friends. It was clean and well managed. Guides available at the entrance though we did not get one. It is a huge garden rich in history and culture.,Local Guide,29 reviews,5 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:16Z
Poornima Singh,Poornima Singh,4.0,"Water and snacks can be taken into the garden if you plan to spend a long time there. Wearing flat and comfortable shoes is a must, given that the streets of the garden are often wet and moist due to the fountains. Cameras are also allowed. Try to Visit this Place at evening or early morning.",Local Guide,63 reviews,6 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:16Z
Ivy Rana,Ivy Rana,4.0,"Ia beautifully maintained garden with fountains. To me it looked like a ""garden scapes"" garden,  you would know if you have played this game. There's not much to do, just a pretty garden you can visit if you are in Udaipur",Local Guide,220 reviews,3 weeks ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:16Z
jaymin parmar,jaymin parmar,5.0,"As the name suggests it was built by Raja for the queen and her friends only. Very well maintained. Lots of trees, garden. Paid parking is available.",Local Guide,250 reviews,2 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:16Z
soumya sourabh,soumya sourabh,3.0,A very basic place having just a few fountains and some lightings.. I would recommend going to this place something in the evening when there is low light as the photos will come aesthetic.,Local Guide,89 reviews,3 weeks ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:16Z
shreya das,shreya das,4.0,Beautiful beautiful place. One mustn't miss this in udaipur. You will not believe that such a green place can be in Rajasthan. It has every possible variety of flowers and trees and is filled with water fountains. Wear non slippery footwear and make sure to take a guide to enjoy it fully,Local Guide,76 reviews,a week ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:16Z
Sanika Tiwarekar,Sanika Tiwarekar,5.0,"It's a nice park, very well maintained. If you want to go for a stroll, this is a nice tourist spot. There are a lot of fountains here.",Local Guide,50 reviews,a week ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:16Z
a m,a m,5.0,,Local Guide,411 reviews,2 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:16Z
VIPUL TALWARIA,VIPUL TALWARIA,4.0,This garden was built by Maharana Sangram Singh for the royal ladies and their maids in the 18th century. The garden is situated on the banks of Fatehsagar Lake. Royal ladies used this to spend some leisure time away from the political intrigues of the palace.,Local Guide,602 reviews,2 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:16Z
Santosh Kumar,Santosh Kumar,4.0,,Local Guide,131 reviews,4 weeks ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:16Z
Abhishek Srivastava,Abhishek Srivastava,3.0,"Not very promising. The day when we went, it was too hot. There are 4 fountains. We got a guide in 100 rs. Fountains were not working that day due to cleaning.",,16 reviews,4 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:16Z
deepankar tulsiani,deepankar tulsiani,5.0,,Local Guide,40 reviews,3 weeks ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:16Z
Yash Rajpurohit,Yash Rajpurohit,4.0,"It is an fair enough place to visit, there is a 20 rs ticket for entry, you can easily spend one hour here. Consider it in between 3:30 to 5:00pm for best pictures and climate, enjoy 👍",Local Guide,5 reviews,2 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:16Z
Darshit Jayswal,Darshit Jayswal,5.0,,Local Guide,51 reviews,3 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:16Z
AMIR SUHAIL,AMIR SUHAIL,5.0,Absolutely stunning!. One shouldn’t miss this place while in Udaipur. Surface near the boundaries of fountain is a bit slippery so do wear a good gripping shoes.,Local Guide,192 reviews,2 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:16Z
'Ankit K Patel','Ankit K Patel',5.0,,Local Guide,61 reviews,a month ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:16Z
Saifuddin Dalal Gulamabbas,Saifuddin Dalal Gulamabbas,4.0,Pleasant garden. Nice fountains.. Entry fee: 20 rs.,Local Guide,63 reviews,5 days ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:16Z
Pooja Mandloi,Pooja Mandloi,5.0,,Local Guide,149 reviews,3 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:16Z
Mohit Mishra,Mohit Mishra,5.0,,Local Guide,68 reviews,a month ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:16Z
Nikunj Newaskar,Nikunj Newaskar,5.0,,Local Guide,91 reviews,2 weeks ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:16Z
gargi banerjee,gargi banerjee,5.0,,Local Guide,193 reviews,a week ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:16Z
ABHISHEK KUMAR,ABHISHEK KUMAR,4.0,,Local Guide,159 reviews,2 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:16Z
Avni Patel,Avni Patel,5.0,,Local Guide,18 reviews,3 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:16Z
Swapnil sk,Swapnil sk,4.0,,Local Guide,144 reviews,3 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:16Z
Rohi Jain,Rohi Jain,5.0,"Must visit this garden, total greenery all around. Do guide for better understanding otherwise it feels like a normal garden.",Local Guide,52 reviews,3 weeks ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:16Z
suhail khan,suhail khan,3.0,,Local Guide,83 reviews,2 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:16Z
Rajesh Nambiar,Rajesh Nambiar,4.0,Nicely maintained garden Complex with several fountains. A place to relax and spend leisure time while you get some lovely photos clicked.,Local Guide,188 reviews,3 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:16Z
Abhishek Jani,Abhishek Jani,5.0,"This is an unique historical place, which is showcasing the technical mastery of people who ruled udaipur. The fountains are running without any electricity, only the physics were applied by the engineers of the golden era.",Local Guide,78 reviews,a month ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:17Z
Prajapati Hiten,Prajapati Hiten,5.0,,Local Guide,32 reviews,a month ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:17Z
Puneet Tiwari,Puneet Tiwari,4.0,,Local Guide,15 reviews,4 weeks ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:17Z
Tuhin De,Tuhin De,5.0,Awesome place filled with greenery and waterfalls. Nice place to visit and spend some quality time,Local Guide,48 reviews,a month ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:18Z
Jaikishan Didwania,Jaikishan Didwania,5.0,"I visited this place in the evening, and I can say it was very beautiful. Though lighting won't be much effective to take pictures but you can capture the beauty with your eyes. It's definitely a checklist to do when you're in udaipur.",Local Guide,67 reviews,3 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:18Z
Dr Shabbir Sayeed,Dr Shabbir Sayeed,4.0,,Local Guide,603 reviews,a month ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:18Z
Rashad Hasan,Rashad Hasan,3.0,,Local Guide,126 reviews,a month ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:19Z
G K,G K,5.0,A must visit during your trip to udaipur.. Hire a guide to help to know the history and relevance of this place better.. You will be amazed to know the functioning of fountains and their design concept,Local Guide,41 reviews,2 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:19Z
Piyush Bafna,Piyush Bafna,4.0,,Local Guide,149 reviews,2 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:19Z
Manisha Ghoshal,Manisha Ghoshal,5.0,"It's a garden in Udaipur ,with lots of fountains. There are fountains everywhere inside. There's an area, where, if you close your eyes, you will feel that it's raining heavily, but that's just the effect created by fountains and trees. Loved it.",,101 reviews,a month ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:19Z
Mayank Shrivastava,Mayank Shrivastava,4.0,,Local Guide,329 reviews,5 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:19Z
Parth Sarthy,Parth Sarthy,4.0,It is a garden used by kings family during kingdom era in Udaipur. You will find green with lot of water fountains to walk around. Total time of visit is around 20 to 30 min max,Local Guide,216 reviews,4 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:19Z
Abhishek Tanwar,Abhishek Tanwar,4.0,,Local Guide,337 reviews,5 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:19Z
Abhishek Gaurav,Abhishek Gaurav,5.0,,Local Guide,113 reviews,3 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:19Z
Mohit Gupta,Mohit Gupta,5.0,It is a very beautiful garden with fountains running all around it.. Built in 18th century for the royal queen's roaming purpose.. It is well maintained garden with greenery all around it.,Local Guide,9 reviews,3 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:19Z
Divith Subramanyam,Divith Subramanyam,5.0,,Local Guide,30 reviews,3 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:19Z
Nehali Buchade,Nehali Buchade,5.0,Nice place with beautiful lighting.. We went to this place in the evening and it was so breezy.. It's a simple yet elegant garden.,Local Guide,61 reviews,2 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:19Z
Anshul Pokharna,Anshul Pokharna,4.0,The garden is spread over vast distance so it can take about 1 to 2 hours to enjoy.  Nominal 10rs/person entry fee taken at the entrance of gate. Go with family & take the photos of beautiful spot & fountains.,Local Guide,38 reviews,5 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:19Z
Vibhor Dhawan,Vibhor Dhawan,4.0,,Local Guide,23 reviews,3 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:19Z
Taiseem Dadwal,Taiseem Dadwal,5.0,"Very beautifully designed garden and it has an interesting story behind it.. Our guide was wonderful, that enhanced our experience strolling around.",Local Guide,32 reviews,3 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:19Z
Abhimit Mishra,Abhimit Mishra,5.0,,Local Guide,45 reviews,2 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:19Z
Rahul Nimbalkar (RN),Rahul Nimbalkar (RN),5.0,,Local Guide,88 reviews,2 weeks ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:19Z
Akshay sharma,Akshay sharma,5.0,The best place of udaipur for visit. Saheliyon ki bari is a amazing place for family tour and picnic.. Very nice clean and smooth place and healthy environment.,Local Guide,35 reviews,3 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:19Z
Narayan Suthar,Narayan Suthar,5.0,,Local Guide,111 reviews,9 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:20Z
Samriddhi Aeron,Samriddhi Aeron,4.0,It is a nice garden where the queen used to visit with her friends as the name suggests Saheliyon ki Bari. A good place to have romantic walks around the different gardens.,Local Guide,66 reviews,4 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:20Z
Shivanshu Gupta,Shivanshu Gupta,5.0,"Beautiful, Wonderful experience, 150 year old bogan biliya tree. Different gardens with so many fountains running with no electricity and modern technology. Welcome fountain, bin badal barsat, kamal talai fountain running with clapping sound, savan bhado fountain.",Local Guide,18 reviews,3 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:20Z
Prateek Bansal,Prateek Bansal,5.0,,Local Guide,53 reviews,4 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:20Z
Haimanti Biswas,Haimanti Biswas,4.0,"One of the most beautiful historical place is saheliyonkibari in udaipur...it has Well maintained garden,which give more attractions fr this place",Local Guide,33 reviews,3 weeks ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:20Z
nandini patil,nandini patil,5.0,Got got photograghic memories here.was fun to see d dancing fountains...must visit place in Udaypur,Local Guide,14 reviews,3 days ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:20Z
SHRISTI,SHRISTI,5.0,"Made for queen & her friends by the king as their summer retreat…this place is serene, calm, green and PEACE. The landscaping speaks a lot and the lush green grass maintained is just worth visiting…you must visit this place as it is best of udaipur 💖",Local Guide,29 reviews,3 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:20Z
Jay Khatri (JD),Jay Khatri (JD),4.0,"Historical places specially for queens , many fountains, flowers and lush green garden is here , Ticket is almost 20/- per person must visit place in udaipur",Local Guide,136 reviews,5 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:20Z
Chintan Desai,Chintan Desai,4.0,,Local Guide,"1,412 reviews",a week ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:20Z
Amol A,Amol A,4.0,,Local Guide,295 reviews,3 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:20Z
